Sentence,Labels Set,subategory,
બેવ જાણ બેશરમ છે માં બાપ નું નામ બદનામ કરે છે ધાકની માં પાણી લઈને ડૂબી મારો ,Hate,Abusive,
"બેન રઙશો નહી દુખ નીપાછળ સુખ છુપા અેલુ હોય છે માટે મા સોન બાઇ ને પાથના દુખ હટાવી ને સુખ આ પો ને આદીવસો મા દૂશમન નેપણ નઆવે જય સોનલ મા🙏🙏🙏🙏🙏
",Non-Hate,Positive,
"આવુ કોઈને પણ દુ ખ નહી હોય ભગવાન તમને સુખી રાખે બેન તમે રડતા નહી પૈસા વાલા હોય ને તો ગરીબ લોકો ની કદર નથી આ બહેન ને ખાવા નથી મલતુ અને પૈસા વાલા મોજ કરે છે પોપટ ભાઈ તમારુ ખુબ સારુ થાય અને બહેન ને પણ સારુ રડતા નહી હુ પણ તમારી બહેન છવ
",Non-Hate,Positive,
"એક વાર ગામડા ના મહેમાનો આવે ને લાપસી અને રોટલા કરવાનુ કયે ને ત્યારે ખબર પડશે hi hello થી કાય નથી થતુ ટુંકા ટુંકા કપડા પહેરીને selfie અપલોડ કરતા આવડે બાકી લગન પછી એક વર્ષ પછી અલગ થય ને રહે છે આ છે city",Non-Hate,Neutral,
"City ની છોકરીઓ મા ખરેખર ઘર સાચવવાની તેવડ નથી હોતી જોવું હોય ને તો 10 મેમાન ઘરે આવ્યા હોય એની રસોઈ બનાવવાની કહેજો એની હકીકત ખબર પડી જશે",Non-Hate,Neutral,
ચાંદા ચડી માં ચોદીના અને ચોદીની ભાસ ની ભાન ભૂલી ગયા અને આ લડાઈ ક્યાં પહોંચશે?,Hate,Abusive,
આવા લોકો ખાલી publicity stunt કરે છે આવા લોકો સમાજ મા દુષણ છે આવા વિડિઓ અપલોડ કરવાજ નહીં,Hate,Accusations,
"આવા ઘણા બધા દીકરી ની જીંદગી બગાડે છે",Hate,Accusations,
આ call girl લાગે છે,Hate,Sexist,
"ઘણા બધા પુન્ય હોય તો લક્ષ્મી ટકે",Non-Hate,Neutral,
જિંદગી ઘાસ જેવી છે... માં.. બાપ ના સંસ્કાર,Hate,Abusive,
તું દરબાર હોય તો આવું ના હોય ,Hate,Promoting violence,
બવ સંસ્કારી છોકરી છે બીજા વિડિઓ પણ મુકો 😂છોકરી પણ આમ હતો મજા આવું 😀,Non-Hate,Neutral,
રાખી શવન્ત બ બિચારી સર્માઈ જસે 🤣,Hate,Abusive,
"પૈસો નહિ માણસાઈ જરૂરી",Non-Hate,Neutral,
"હલકી રાંડ ના હવાલદાર ભયડા, સંસ્કાર પોતાના નાઈ નેબગમ ને શીખડાવ આવી ... નામ લઈજવું ગુજરાત નું ",Hate,Abusive,
ખડળીની,Hate,Abusive,
તણ દીકરા હોય ને એટલે બે સહેરની અને એક ગામડાની દીકરી ગોતવી એટલે આખા ઘરનાને કામ વારી મલી જાય હો પણ હવે સાવચેત રહેવું જાળાં થવાની ટીકડી ના પેકેટ સાથે આપવાના છે ચા ભેગા એક આતરા પાઈ દેવાના એટલે કીટી પાર્ટી ના ગાદલા ભરીમુકે એટલે ગામડા ની ગમાર ની ધીયાન રાખજો ભાઈ,Non-Hate,Neutral,
સંસ્કાર નહિ,Hate,Abusive,
મોજ કરડી બેટે વા વા  મજા આગાયા  એ મજા હેના સારે દેશ કો મિલના સહે 😂😂😂😂😂😂😂😂😂,Non-Hate,Neutral,
કીર્તિ પટેલ સેક્સી ગર્લ છે ,Hate,Abusive,
બધા ૩ર્ડ કેટેગરી ના છે...આવા લોકો ને એકલા મૂકી દેવા સઈદે માં...બીજા ઘણા સારા કામ જોવ..મારો તો ટીમે બગડ્યો...,Hate,Abusive,
તારા જેવી ચુડેલ ને સુ સપોર્ટ કરવાનો હટ્ટ બેવડી ,Hate,Abusive,
"ખૂબ ખૂબ આભાર પોપટભાઈ, તમે ઘણું જ સારું કામ કર્યું આ બેન ની મદદ કરીને. ભગવાન તમને સહાય કરે એવી પ્રાર્થના. બેન હિંમત રાખજો,આજ નહિ તો કાલે બધું સારું થઈ જશે.",Non-Hate,Neutral,
"માએમાં બીજાવગડાના વાબહેને બહુજ હિમ્મત દેખાડી ને સામે આવીને જે વાત કહી તે હિંમતને પાત્ર છે ઔરત કમજોર નથી ધારે તે કરી બતાવે આવીજ હિમ્મત રાખજો દસકો દુઃખ ને દસકો સુખ કાલે જરૂર સુખી થશો એવી પ્રાર્થના",Non-Hate,Neutral,
હવે લૂખી તારી ને બધા મારવા તૈયાર છે ,Hate,Abusive,
પટેલ ની ડીકરિયુ આવી ગાળો ના બોલે હલકટ વાઘરન ,Hate,Abusive,
કીર્તિ લેડીસ ના નામે કલન્ક છે આટલી ગારુ કોઈ લેડીસ ના બોલે સરમ કર કીર્તિ ,Hate,Abusive,
જોરદાર ગાળો બોલે છે આ બેન ,Non-Hate,Neutral,
મને કળબી થી છે નફરત છે,Hate,Promoting violence,
પવિયા ને પાવર આવી ગયો લાગે છે ,Hate,Promoting violence,
આવા છક્ક્ક્કા ઓ થી સાવધાન ,Hate,Promoting violence,
હા માસી સજાકરો કિર્તી પટેલ ને,Non-Hate,Neutral,
ક્રિષ્ના માસી જહુ માતા કાંઈ. નઈ..થવા..જય..જહુ.માં,Non-Hate,Neutral,
કીર્તિ પટેલ એનેજ લાયક છે માશી તમે ધોવો આ નાલાયક પટેલ ને સરમ વગરની છે એ ,Hate,Abusive,
ભોંસડી ના આવા વિડિયો ક્યાં તારા બાપ ને ગમે?,Hate,Abusive,
ડો ફા તું તારું સાંભળને  ?,Hate,Abusive,
વાહ કૃષ્ણ પટેલ વાહ સરસ... માજા આવી ગયી અમને.,Non-Hate,Positive,
જય બહુચર માં કશુ ના થવાદે કીર્તિ નો તો રોજ ના ડખા છે માસી બા બહુચર કશું ના થવા દે,Non-Hate,Neutral,
કીર્તિ વાંદરી છે ,Hate,Abusive,
બહુ જ સરસ વેરી ગુડ આ દુનિયા તમારી સાથે છે તમે ગભરાશો નહીં,Hate,Abusive,
તમે આગલી પેઢી ને સુ સંદેશ આપો છો જરાક તો વિચારો ચોદીનાવ ...,Hate,Abusive,
